Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 2%,BET 2 EV,CHECK%,CHECK EV
Ah 8d 2c,6c5c,1.000,19.13,1.27635,111.22,55.77,1.41,44.23,1.11
Ah 8d 2c,7c6c,1.000,19.38,1.21496,104.512,50.36,1.37,49.64,1.05
Ah 8d 2c,8c7c,1.000,52.87,2.48813,78.4327,32.92,2.35,67.08,2.56
Ah 8d 2c,9c8c,1.000,54.69,2.6798,81.6646,8.42,2.74,91.58,2.67
Ah 8d 2c,Tc8c,1.000,55.65,2.83094,84.7838,23.72,3.06,76.28,2.76
Ah 8d 2c,Tc9c,1.000,23.14,1.37371,98.9358,56.48,1.60,43.52,1.08
Ah 8d 2c,Jc8c,1.000,56.64,2.98868,87.9412,23.08,3.24,76.92,2.91
Ah 8d 2c,Jc9c,1.000,24.33,1.23527,84.6054,46.71,1.57,53.29,0.94
Ah 8d 2c,JcTc,1.000,27.45,1.40547,85.3507,48.30,1.77,51.70,1.06
Ah 8d 2c,JcTd,1.000,24.17,0.92531,63.8097,26.27,1.55,73.73,0.70
Ah 8d 2c,JcTh,1.000,24.18,0.93811,64.659,28.47,1.53,71.53,0.70
Ah 8d 2c,JcTs,1.000,24.10,0.90269,62.4217,27.39,1.50,72.61,0.68
Ah 8d 2c,Qc8c,1.000,57.68,3.0534,88.2305,11.63,3.21,88.37,3.03
Ah 8d 2c,Qc9c,1.000,27.30,0.90074,54.9866,18.50,1.32,81.50,0.80
Ah 8d 2c,QcTc,1.000,30.39,1.39378,76.4307,60.37,1.69,39.63,0.94
Ah 8d 2c,QcJc,1.000,32.37,1.33433,68.6948,50.93,1.68,49.07,0.97
Ah 8d 2c,QcTd,1.000,27.22,0.77476,47.4379,19.91,1.53,80.09,0.59
Ah 8d 2c,QcJd,1.000,29.29,0.79323,45.1333,18.91,1.54,81.09,0.62
Ah 8d 2c,QcTh,1.000,27.23,0.76992,47.1205,20.24,1.49,79.76,0.59
Ah 8d 2c,QcJh,1.000,29.30,0.84239,47.9105,23.51,1.54,76.49,0.63
Ah 8d 2c,QcTs,1.000,27.15,0.77653,47.6754,21.84,1.54,78.16,0.56
Ah 8d 2c,QcJs,1.000,29.22,0.75119,42.8513,17.60,1.48,82.40,0.60
Ah 8d 2c,Kc3c,1.000,31.07,1.08591,58.2592,53.96,1.34,46.04,0.78
Ah 8d 2c,Kc4c,1.000,31.21,1.15727,61.801,62.33,1.37,37.67,0.80
Ah 8d 2c,Kc5c,1.000,31.39,1.20767,64.1128,58.12,1.51,41.88,0.79
Ah 8d 2c,Kc6c,1.000,30.78,0.92353,50.0023,32.33,1.45,67.67,0.67
Ah 8d 2c,Kc7c,1.000,31.36,0.77007,40.9239,15.50,1.37,84.50,0.66
Ah 8d 2c,Kc8c,1.000,58.83,3.19965,90.6422,19.47,3.26,80.53,3.18
Ah 8d 2c,Kc9c,1.000,34.67,0.78915,37.9391,4.39,1.60,95.61,0.75
Ah 8d 2c,KcTc,1.000,37.76,1.0731,47.3593,20.90,1.69,79.10,0.91
Ah 8d 2c,KcJc,1.000,39.82,1.05082,43.9853,3.04,1.73,96.96,1.03
Ah 8d 2c,KcQc,1.000,41.95,1.15962,46.0667,1.64,1.64,98.36,1.15
Ah 8d 2c,KcTd,1.000,34.93,0.6062,28.9232,2.45,1.42,97.55,0.59
Ah 8d 2c,KcJd,1.000,37.08,0.71658,32.2103,1.31,1.56,98.69,0.71
Ah 8d 2c,KcQd,1.000,39.31,0.8375,35.5069,0.88,1.53,99.12,0.83
Ah 8d 2c,KcTh,1.000,34.94,0.60718,28.96,2.51,1.40,97.49,0.59
Ah 8d 2c,KcJh,1.000,37.09,0.72274,32.4764,1.47,1.54,98.53,0.71
Ah 8d 2c,KcQh,1.000,39.32,0.83747,35.4946,0.91,1.51,99.09,0.83
Ah 8d 2c,KcTs,1.000,34.85,0.59267,28.3448,2.06,1.48,97.94,0.57
Ah 8d 2c,KcJs,1.000,36.99,0.70066,31.566,1.30,1.57,98.70,0.69
Ah 8d 2c,KcQs,1.000,39.23,0.82238,34.9412,0.81,1.50,99.19,0.82
Ah 8d 2c,Ac3c,1.000,78.27,5.06741,107.904,20.48,4.34,79.52,5.26
Ah 8d 2c,Ac4c,1.000,78.33,5.07157,107.904,21.65,4.34,78.35,5.27
Ah 8d 2c,Ac5c,1.000,78.66,5.06413,107.297,29.33,4.51,70.67,5.30
Ah 8d 2c,Ac6c,1.000,78.94,5.11978,108.097,23.00,4.48,77.00,5.31
Ah 8d 2c,Ac7c,1.000,79.64,5.05056,105.69,45.45,4.59,54.55,5.43
Ah 8d 2c,Ac8c,1.000,93.46,10.1138,180.361,65.80,9.83,34.20,10.66
Ah 8d 2c,Ac9c,1.000,82.13,5.66217,114.901,49.79,5.28,50.21,6.04
Ah 8d 2c,AcTc,1.000,83.53,6.16097,122.932,30.91,5.60,69.09,6.41
Ah 8d 2c,Ac2d,1.000,88.07,7.86168,148.776,38.45,7.26,61.55,8.24
Ah 8d 2c,Ac3d,1.000,77.02,4.72242,102.191,8.73,3.99,91.27,4.79
Ah 8d 2c,Ac4d,1.000,77.09,4.73518,102.378,9.23,3.99,90.77,4.81
Ah 8d 2c,Ac5d,1.000,77.45,4.75099,102.239,12.95,4.14,87.05,4.84
Ah 8d 2c,Ac6d,1.000,77.78,4.79928,102.843,10.02,4.14,89.98,4.87
Ah 8d 2c,Ac7d,1.000,78.56,4.90995,104.164,14.75,4.32,85.25,5.01
Ah 8d 2c,Ac9d,1.000,81.11,5.35053,109.939,38.63,4.93,61.37,5.62
Ah 8d 2c,AcTd,1.000,82.58,5.78593,116.77,30.54,5.31,69.46,6.00
Ah 8d 2c,AcJd,1.000,84.00,6.27444,124.499,27.22,5.70,72.78,6.49
Ah 8d 2c,Ac2h,1.000,88.07,7.86099,148.768,37.84,7.24,62.16,8.24
Ah 8d 2c,Ac3h,1.000,77.01,4.72034,102.153,8.54,3.99,91.46,4.79
Ah 8d 2c,Ac4h,1.000,77.08,4.72899,102.251,9.41,3.97,90.59,4.81
Ah 8d 2c,Ac5h,1.000,77.44,4.73272,101.853,15.36,4.15,84.64,4.84
Ah 8d 2c,Ac6h,1.000,77.75,4.77415,102.342,11.53,4.10,88.47,4.86
Ah 8d 2c,Ac7h,1.000,78.53,4.85084,102.946,20.66,4.28,79.34,5.00
Ah 8d 2c,Ac8h,1.000,93.04,10.0316,179.705,46.33,9.66,53.67,10.35
Ah 8d 2c,Ac9h,1.000,81.12,5.29139,108.721,45.79,4.90,54.21,5.62
Ah 8d 2c,AcTh,1.000,82.59,5.75897,116.223,32.51,5.27,67.49,5.99
Ah 8d 2c,AcJh,1.000,84.00,6.19685,122.956,32.92,5.68,67.08,6.45
Ah 8d 2c,Ac2s,1.000,88.06,7.93206,150.13,31.33,7.24,68.67,8.25
Ah 8d 2c,Ac3s,1.000,76.94,4.62702,100.225,17.96,3.97,82.04,4.77
Ah 8d 2c,Ac4s,1.000,77.01,4.62353,100.061,20.04,3.96,79.96,4.79
Ah 8d 2c,Ac5s,1.000,77.36,4.6945,101.141,19.27,4.16,80.73,4.82
Ah 8d 2c,Ac6s,1.000,77.65,4.71672,101.244,16.02,4.06,83.98,4.84
Ah 8d 2c,Ac7s,1.000,78.41,4.74605,100.885,28.72,4.15,71.28,4.98
Ah 8d 2c,Ac8s,1.000,92.96,10.0843,180.795,46.50,9.71,53.50,10.41
Ah 8d 2c,Ac9s,1.000,81.00,5.28752,108.803,40.42,4.83,59.58,5.60
Ah 8d 2c,AcTs,1.000,82.47,5.78487,116.903,27.91,5.30,72.09,5.97
Ah 8d 2c,AcJs,1.000,83.89,6.24093,123.997,28.49,5.67,71.51,6.47
Ah 8d 2c,6d6c,1.000,41.08,1.54907,62.8482,28.74,2.03,71.26,1.36
Ah 8d 2c,6d5d,1.000,19.19,1.3005,112.959,58.19,1.41,41.81,1.15
Ah 8d 2c,7d7c,1.000,42.06,1.65743,65.6829,33.88,2.19,66.12,1.39
Ah 8d 2c,7d6d,1.000,19.42,1.27505,109.419,55.15,1.42,44.85,1.10
Ah 8d 2c,9d9c,1.000,53.96,2.62975,81.2282,31.01,3.14,68.99,2.40
Ah 8d 2c,TdTc,1.000,56.95,2.75674,80.6738,17.16,3.29,82.84,2.65
Ah 8d 2c,Td9d,1.000,23.20,1.41736,101.824,58.63,1.63,41.37,1.12
Ah 8d 2c,JdTc,1.000,24.17,0.93866,64.73,27.28,1.57,72.72,0.70
Ah 8d 2c,Jd9d,1.000,24.38,1.28699,87.9678,48.52,1.63,51.48,0.97
Ah 8d 2c,JdTd,1.000,27.49,1.47684,89.5285,54.36,1.80,45.64,1.09
Ah 8d 2c,JdTh,1.000,24.17,0.93042,64.163,27.06,1.54,72.94,0.70
Ah 8d 2c,JdTs,1.000,24.09,0.90724,62.7691,27.43,1.52,72.57,0.68
Ah 8d 2c,QdTc,1.000,27.22,0.77264,47.3077,19.78,1.52,80.22,0.59
Ah 8d 2c,QdJc,1.000,29.29,0.78986,44.9416,18.78,1.53,81.22,0.62
Ah 8d 2c,Qd9d,1.000,27.34,0.94424,57.554,22.75,1.37,77.25,0.82
Ah 8d 2c,QdTd,1.000,30.43,1.39908,76.6217,57.00,1.73,43.00,0.96
Ah 8d 2c,QdJd,1.000,32.41,1.32794,68.284,46.28,1.71,53.72,1.00
Ah 8d 2c,QdTh,1.000,27.22,0.77815,47.6462,20.83,1.50,79.17,0.59
Ah 8d 2c,QdJh,1.000,29.29,0.84651,48.1656,24.04,1.53,75.96,0.63
Ah 8d 2c,QdTs,1.000,27.13,0.78764,48.3801,22.94,1.54,77.06,0.56
Ah 8d 2c,QdJs,1.000,29.20,0.7526,42.95,17.96,1.47,82.04,0.60
Ah 8d 2c,KdTc,1.000,34.98,0.60811,28.9776,2.29,1.47,97.71,0.59
Ah 8d 2c,KdJc,1.000,37.13,0.7173,32.1993,1.20,1.56,98.80,0.71
Ah 8d 2c,KdQc,1.000,39.37,0.83892,35.5176,0.81,1.57,99.19,0.83
Ah 8d 2c,Kd2d,1.000,46.17,2.25072,81.24,47.27,2.16,52.73,2.33
Ah 8d 2c,Kd3d,1.000,31.13,1.16655,62.446,61.92,1.40,38.08,0.79
Ah 8d 2c,Kd4d,1.000,31.28,1.21579,64.78,66.99,1.42,33.01,0.81
Ah 8d 2c,Kd5d,1.000,31.47,1.29416,68.5454,66.25,1.55,33.75,0.79
Ah 8d 2c,Kd6d,1.000,30.83,0.98715,53.3702,38.11,1.49,61.89,0.68
Ah 8d 2c,Kd7d,1.000,31.41,0.80515,42.7178,18.04,1.44,81.96,0.66
Ah 8d 2c,Kd9d,1.000,34.75,0.80062,38.4015,4.56,1.62,95.44,0.76
Ah 8d 2c,KdTd,1.000,37.85,1.03986,45.7932,13.91,1.79,86.09,0.92
Ah 8d 2c,KdJd,1.000,39.90,1.06727,44.5784,2.30,1.78,97.70,1.05
Ah 8d 2c,KdQd,1.000,42.04,1.1837,46.9243,1.29,1.74,98.71,1.18
Ah 8d 2c,KdTh,1.000,34.98,0.6081,28.9773,2.37,1.46,97.63,0.59
Ah 8d 2c,KdJh,1.000,37.13,0.72388,32.4952,1.37,1.55,98.63,0.71
Ah 8d 2c,KdQh,1.000,39.37,0.83898,35.5207,0.83,1.57,99.17,0.83
Ah 8d 2c,KdTs,1.000,34.88,0.5943,28.3967,2.05,1.52,97.95,0.57
Ah 8d 2c,KdJs,1.000,37.03,0.70143,31.5694,1.22,1.56,98.78,0.69
Ah 8d 2c,KdQs,1.000,39.27,0.82386,34.967,0.75,1.55,99.25,0.82
Ah 8d 2c,Ad3c,1.000,77.02,4.72269,102.196,8.93,4.01,91.07,4.79
Ah 8d 2c,Ad4c,1.000,77.09,4.73571,102.388,9.29,4.00,90.71,4.81
Ah 8d 2c,Ad5c,1.000,77.45,4.74977,102.212,13.20,4.15,86.80,4.84
Ah 8d 2c,Ad6c,1.000,77.75,4.78798,102.632,10.24,4.11,89.76,4.87
Ah 8d 2c,Ad7c,1.000,78.54,4.87578,103.47,16.67,4.22,83.33,5.01
Ah 8d 2c,Ad8c,1.000,93.05,10.0383,179.792,46.30,9.66,53.70,10.36
Ah 8d 2c,Ad9c,1.000,81.12,5.34636,109.842,38.83,4.91,61.17,5.62
Ah 8d 2c,AdTc,1.000,82.59,5.7696,116.429,31.79,5.28,68.21,6.00
Ah 8d 2c,AdJc,1.000,84.00,6.25395,124.08,30.03,5.69,69.97,6.50
Ah 8d 2c,Ad2d,1.000,88.60,7.97435,150.01,54.01,7.47,45.99,8.57
Ah 8d 2c,Ad3d,1.000,78.14,5.01516,106.971,22.06,4.31,77.94,5.22
Ah 8d 2c,Ad4d,1.000,78.20,5.02269,107.041,22.91,4.31,77.09,5.23
Ah 8d 2c,Ad5d,1.000,78.54,5.00893,106.297,31.81,4.48,68.19,5.26
Ah 8d 2c,Ad6d,1.000,78.85,5.09049,107.604,24.28,4.48,75.72,5.29
Ah 8d 2c,Ad7d,1.000,79.56,5.0461,105.709,48.33,4.66,51.67,5.41
Ah 8d 2c,Ad9d,1.000,82.01,5.63557,114.531,49.68,5.26,50.32,6.01
Ah 8d 2c,AdTd,1.000,83.41,6.14073,122.707,30.19,5.58,69.81,6.38
Ah 8d 2c,Ad2h,1.000,88.07,7.90202,149.545,33.10,7.23,66.90,8.23
Ah 8d 2c,Ad3h,1.000,77.01,4.72115,102.179,8.37,3.98,91.63,4.79
Ah 8d 2c,Ad4h,1.000,77.08,4.73205,102.325,8.92,3.96,91.08,4.81
Ah 8d 2c,Ad5h,1.000,77.44,4.73894,101.995,14.35,4.15,85.65,4.84
Ah 8d 2c,Ad6h,1.000,77.74,4.77283,102.324,11.49,4.10,88.51,4.86
Ah 8d 2c,Ad7h,1.000,78.52,4.8579,103.108,19.33,4.28,80.67,5.00
Ah 8d 2c,Ad8h,1.000,93.06,9.99967,179.082,54.21,9.68,45.79,10.37
Ah 8d 2c,Ad9h,1.000,81.10,5.28953,108.698,45.52,4.90,54.48,5.62
Ah 8d 2c,AdTh,1.000,82.57,5.76402,116.341,31.33,5.26,68.67,5.99
Ah 8d 2c,AdJh,1.000,83.99,6.19995,123.035,32.30,5.68,67.70,6.45
Ah 8d 2c,Ad2s,1.000,88.06,7.95627,150.589,28.25,7.23,71.75,8.24
Ah 8d 2c,Ad3s,1.000,76.94,4.63381,100.38,16.92,3.96,83.08,4.77
Ah 8d 2c,Ad4s,1.000,77.01,4.64648,100.566,17.17,3.95,82.83,4.79
Ah 8d 2c,Ad5s,1.000,77.35,4.6994,101.256,18.47,4.16,81.53,4.82
